Orthogroup	Cx_molestus	Cx_pallens	Cx_pipiens	Cx_quinquefasciatus	Cx_tarsalis	ingroup_count	compartment
OG0000156	3	3	3	4	1	4	core
OG0000157	3	3	3	4	1	4	core
OG0000158	1	4	4	4	1	4	core
OG0000159	3	3	2	3	2	4	core
OG0000160	3	3	3	3	1	4	core
OG0000161	3	3	3	2	2	4	core
OG0000162	2	2	2	4	3	4	core
OG0000163	3	2	3	4	1	4	core
OG0000164	3	3	3	3	1	4	core
OG0000165	4	2	2	4	1	4	core
OG0000166	3	3	3	3	1	4	core
OG0000167	3	3	3	3	1	4	core
OG0000168	3	3	3	3	1	4	core
OG0000169	3	3	3	3	1	4	core
OG0000170	3	3	3	3	1	4	core
OG0000171	3	3	3	3	1	4	core
OG0000172	3	3	3	3	1	4	core
OG0000173	3	3	3	3	1	4	core
OG0000174	3	3	3	3	1	4	core
OG0000175	3	3	3	3	1	4	core
OG0000176	3	3	3	3	1	4	core
OG0000177	2	3	3	4	1	4	core
OG0000178	3	3	3	3	1	4	core
OG0000179	3	3	3	3	1	4	core
OG0000180	3	2	3	4	1	4	core
OG0000181	3	3	3	3	1	4	core
OG0000182	2	3	3	4	1	4	core
OG0000183	3	3	3	3	1	4	core
OG0000184	2	3	2	5	1	4	core
OG0000185	3	3	3	3	1	4	core
OG0000186	3	3	3	3	1	4	core
OG0000187	3	3	3	3	1	4	core
OG0000188	3	3	3	3	1	4	core
OG0000189	2	3	3	4	1	4	core
OG0000190	4	2	3	4	0	4	core
OG0000191	3	3	3	3	1	4	core
OG0000192	3	4	2	4	0	4	core
OG0000193	3	3	3	3	1	4	core
OG0000194	3	3	3	4	0	4	core
OG0000195	2	2	3	3	3	4	core
OG0000196	2	2	3	5	1	4	core
OG0000197	3	3	3	3	1	4	core
OG0000198	4	1	4	4	0	4	core
OG0000199	3	3	4	3	0	4	core
OG0000200	3	3	3	3	1	4	core
OG0000201	3	3	3	3	1	4	core
OG0000202	3	3	3	3	1	4	core
OG0000203	3	3	3	3	1	4	core
OG0000204	1	4	3	4	1	4	core
